name,yahoo_ticker,isin,country,exchange,sector,enabled
Odfjell Drilling,ODL.OL,,NO,OSLO,Energy,true
Odfjell SE A,ODF.OL,,NO,OSLO,Industrials,true
Otovo,OTOVO.OL,,NO,OSLO,Energy,true
Protector Forsikring,PROT.OL,,NO,OSLO,Financials,true
Seadrill,SDRL.OL,,NO,OSLO,Energy,false
SpareBank 1 Nord-Norge,NONG.OL,,NO,OSLO,Financials,true
SpareBank 1 SR-Bank,SRBNK.OL,,NO,OSLO,Financials,false
TGS,TGS.OL,,NO,OSLO,Energy,true
Webstep,WSTEP.OL,,NO,OSLO,Technology,true
XXL,XXL.OL,,NO,OSLO,Consumer Discretionary,false
Zaptec,ZAP.OL,,NO,OSLO,Industrials,true
Agtira B,AGTIRA-B.ST,,SE,NGM,Consumer Staples,true
Archelon Natural Resources,ALONNR-B.ST,,SE,NGM,Materials,true
Arctic Blue Beverages,ARCTIC.ST,,SE,NGM,Consumer Staples,true
Argo Defence Group,ARGO.ST,,SE,NGM,Industrials,true
Audientes,AUDNTS.ST,,SE,NGM,Health Care,false
Bonzun,BONZUN.ST,,SE,NGM,Health Care,false
By MHGard,BYMGARD.ST,,SE,NGM,Consumer Discretionary,false
Cardeon,CARD.ST,,SE,NGM,Health Care,false
Coegin Pharma,COEGIN.ST,,SE,NGM,Health Care,true
Creturner Group,CRET.ST,,SE,NGM,Technology,true
Dividend Sweden B,DIVI-B.ST,,SE,NGM,Financials,false
Eevia Health,EEVIA.ST,,SE,NGM,Health Care,false
Episurf Medical B,EPIS-B.ST,,SE,NGM,Health Care,true
Fram Skandinavien B,FRAM-B.ST,,SE,NGM,Financials,true
H&D Wireless Sweden Holding B,HDW-B.ST,,SE,NGM,Technology,false
Insplorion,INSP.ST,,SE,NGM,Industrials,true
JonDeTech Sensors,JDT.ST,,SE,NGM,Technology,true
Kontigo Care,KONT.ST,,SE,NGM,Health Care,true
Lifeclean International,LCLEAN.ST,,SE,NGM,Consumer Staples,true
Maven Wireless Sweden,MAVEN.ST,,SE,NGM,Technology,true
Medclair,MCLR.ST,,SE,NGM,Health Care,true
NFO Drives,NFO.ST,,SE,NGM,Industrials,true
NOSIUM,NOSIUM.ST,,SE,NGM,Financials,false
Obducat B,OBDU-B.ST,,SE,NGM,Technology,true
Orgo Tech,ORGO.ST,,SE,NGM,Technology,false
Plejd,PLEJD.ST,,SE,NGM,Industrials,true
RanLOS,RLOS.ST,,SE,NGM,Technology,false
Raytelligence,RAYTL.ST,,SE,NGM,Health Care,false
Referring Pages,RPAG.ST,,SE,NGM,Technology,false
Scandinavian Astor Group,ASTOR.ST,,SE,NGM,Industrials,true
SealWacs,SEALW.ST,,SE,NGM,Technology,false
Sensys Gatso Group,SENS.ST,,SE,NGM,Technology,true
Sivers Semiconductors,SIVE.ST,,SE,NGM,Technology,true
TC Connect,TCC-A.ST,,SE,NGM,Technology,true
TCECUR Sweden,TCC-B.ST,,SE,NGM,Industrials,false
Trophy Games Development,TGAMES.ST,,SE,NGM,Communication Services,false
Vadsbo SwitchTech,VADS.ST,,SE,NGM,Industrials,false
Alleima,ALLEI.ST,,SE,OMXS,Industrials,true
Alligator Bioscience,ATORX.ST,,SE,OMXS,Health Care,true
Anoto Group,ANOT.ST,,SE,OMXS,Technology,true
Arjo B,ARJO-B.ST,,SE,OMXS,Health Care,true
Bambuser,BUSER.ST,,SE,OMXS,Technology,true
BeammWave,BEAMMW-B.ST,,SE,OMXS,Technology,true
Bergs Timber B,BRG-B.ST,,SE,OMXS,Materials,false
Better Collective,BETCO.ST,,SE,OMXS,Communication Services,true
BioInvent International,BINV.ST,,SE,OMXS,Health Care,true
Bonava B,BONAV-B.ST,,SE,OMXS,Real Estate,true
Boule Diagnostics,BOUL.ST,,SE,OMXS,Health Care,true
Calliditas Therapeutics,CALTX.ST,,SE,OMXS,Health Care,false
Cibus Nordic Real Estate,CIBUS.ST,,SE,OMXS,Real Estate,true
Cint Group,CINT.ST,,SE,OMXS,Technology,true
Climeon B,CLIME-B.ST,,SE,OMXS,Industrials,true
Cloetta B,CLA-B.ST,,SE,OMXS,Consumer Staples,true
Corem Property B,CORE-B.ST,,SE,OMXS,Real Estate,true
Creades A,CRED-A.ST,,SE,OMXS,Financials,true
Dios Fastigheter,DIOS.ST,,SE,OMXS,Real Estate,true
Egetis Therapeutics,EGTX.ST,,SE,OMXS,Health Care,true
Electrolux Professional B,EPRO-B.ST,,SE,OMXS,Industrials,true
Exsitec Holding,EXS.ST,,SE,OMXS,Technology,true
G5 Entertainment,G5EN.ST,,SE,OMXS,Communication Services,true
Genovis,GENO.ST,,SE,OMXS,Health Care,true
Granges,GRNG.ST,,SE,OMXS,Materials,true
Humana,HUM.ST,,SE,OMXS,Health Care,true
IAR Systems Group,IAR-B.ST,,SE,OMXS,Technology,false
Isofol Medical,ISOFOL.ST,,SE,OMXS,Health Care,true
Kabe Group B,KABE-B.ST,,SE,OMXS,Consumer Discretionary,true
Karnov Group,KAR.ST,,SE,OMXS,Industrials,true
KlaraBo B,KLARA-B.ST,,SE,OMXS,Real Estate,true
Loomis,LOOMIS.ST,,SE,OMXS,Industrials,true
Mentice,MNTC.ST,,SE,OMXS,Health Care,true
MilDef Group,MILDEF.ST,,SE,OMXS,Industrials,true
Modern Times Group B,MTG-B.ST,,SE,OMXS,Communication Services,true
Munters Group,MTRS.ST,,SE,OMXS,Industrials,true
NP3 Fastigheter,NP3.ST,,SE,OMXS,Real Estate,true
Nederman Holding,NMAN.ST,,SE,OMXS,Industrials,true
Netel Holding,NETEL.ST,,SE,OMXS,Industrials,true
New Wave Group B,NEWA-B.ST,,SE,OMXS,Consumer Discretionary,true
Nivika Fastigheter B,NIVI-B.ST,,SE,OMXS,Real Estate,true
Nobia,NOBI.ST,,SE,OMXS,Consumer Discretionary,true
Oncopeptides,ONCO.ST,,SE,OMXS,Health Care,true
Pierce Group,PIERCE.ST,,SE,OMXS,Consumer Discretionary,true
Proact IT Group,PACT.ST,,SE,OMXS,Technology,true
